Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
22,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/new-updates/narayana-murthy-says-he-knows-someone-already-working-100-hours-a-week-in-a-chat-on-bengaluru-mumbai-flight/articleshow/122759974.cms,Infosys,AI,Positive,0.2,0.151,0,Narayana Murthy says he knows someone already working 100 hours
23,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/new-updates/work-like-a-horse-japans-first-woman-pm-sanae-takaichi-dismisses-work-life-balance-from-elon-musk-to-srk-billionaires-who-have-the-same-mindset/articleshow/124799306.cms,Infosys,AI,Positive,0.2,0.081,0,'Work like a horse': Japan's first woman PM dismisses work-life
24,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/funding/deeptech-startup-myelin-foundry-raises-4-million-led-by-sidbi-venture-capital/articleshow/109945359.cms,Infosys,AI,Positive,0.475,0.129,0,Myelin Foundry: Deeptech startup Myelin Foundry raises $4 million led
25,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/dangerous-fantasy-to-vow-80-productivity-gains-via-ai-in-five-years-says-tech-mahindra-ceo/articleshow/122820678.cms,Infosys,AI,Positive,0.55,0.09,0,'Dangerous fantasy' to vow 80% productivity gains via AI in
26,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/erd-bucks-slowdown-in-tech-hiring/articleshow/111411418.cms,Infosys,AI,Positive,0.75,0.2,0,ER&D: Strong ER&D demand helps IT buck overall soft hiring
27,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/for-it-a-16-billion-deal-feast-on-the-table/articleshow/106553835.cms,Infosys,AI,Positive,0.55,0.095,0,"IT services: For IT, a $16 billion deal feast on"
28,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/higher-exposure-to-digital-business-led-to-tepid-revenues-infosys-management/articleshow/108306979.cms,Infosys,AI,Neutral,0.675,1.0,0,Infosys management tepid revenues: Higher exposure to digital business led
29,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indian-it-sees-pockets-of-h2-recovery-in-us-eu-as-bfsi-revs-up/articleshow/124833768.cms,Infosys,AI,Positive,0.55,0.143,0,"Indian IT sees pockets of H2 recovery in US, EU"
30,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indias-it-eyes-chip-electronics-foray-to-glide-over-growth-bumps/articleshow/123884610.cms,Infosys,AI,Positive,0.55,0.084,0,"Indiaâs IT eyes chip, electronics foray to glide over growth"
31,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/infosys-resumes-hiring-women-on-a-career-break-offers-rewards-to-employees-for-successful-referrals/articleshow/123966757.cms,Infosys,AI,Positive,0.475,0.162,0,"Infosys hiring women on a career break, offers rewards to"
32,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/it-companies-eye-specialised-talent-in-small-drives-to-future-proof-business/articleshow/108245378.cms,Infosys,AI,Positive,0.55,0.094,0,it companies specialised talent: IT companies eye specialised talent in
33,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/it-large-caps-back-on-acquisition-track-to-boost-skills-footprint/articleshow/125623462.cms,Infosys,AI,Positive,0.55,0.026,0,"IT large caps back on acquisition track to boost skills,"
34,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/tech-majors-keep-count-up-despite-one-outlier/articleshow/124694042.cms,Infosys,AI,Positive,0.55,0.035,0,Tech majors keep count up despite one outlier - The
35,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/top-tech-and-startup-stories-this-week/articleshow/124008836.cms,Infosys,AI,Positive,0.4,0.12,0,Top tech and startup stories this week
36,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/ettech-unwrapped/when-byjus-made-its-presence-felt-in-absence-and-other-top-stories-this-week/articleshow/107763594.cms,Infosys,AI,Positive,0.475,0.145,0,"When Byju’s made its presence felt, in absence; and other"
37,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/binny-bansal-raises-bets-on-investments-it-appraisals-from-first-quarter-end/articleshow/108571869.cms,Infosys,AI,Positive,0.55,0.075,0,Binny Bansal raises bets on investments; 9% avg salary hike
38,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/govt-to-tweak-rules-for-ai-firms-llms-fy23-financials-for-unacademy-myntra/articleshow/106527981.cms,Infosys,AI,Positive,0.475,0.139,0,"Govt may tweak rules for AI firms, LLMs; FY23 financials"
39,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/groww-drives-up-d-street-nazaras-q2-loss/articleshow/125287918.cms,Infosys,AI,Positive,0.4,0.141,0,Groww drives up D-Street; Nazara’s Q2 loss
40,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/it-ceos-salary-in-fy24-wipro-offers-85-variable-pay/articleshow/110717331.cms,Infosys,AI,Positive,0.675,0.095,0,IT CEOs' salary in FY24; Wipro offers 85% variable pay
41,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/it-firms-fight-for-16-billion-worth-of-deals-zomato-pauses-blinkit-integration/articleshow/106556545.cms,Infosys,AI,Positive,0.75,0.048,0,IT firms to face-off for $16 billion of deals; Zomato
42,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/q-comms-festive-hustle-gets-faster-gst-cuts-taxing-for-evs/articleshow/123987723.cms,Infosys,AI,Positive,0.75,0.066,0,Q-comm's festive hustle gets faster; GST cuts taxing for EVs
43,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/paytm-stock-slides-after-coo-exit-indias-first-microcontroller-chip/articleshow/109889282.cms,Infosys,AI,Positive,0.475,0.05,0,Paytm stock slides after COO exit; India’s first microcontroller chip
44,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/pine-labs-strong-d-street-debut-digital-protection-rules-notified/articleshow/125328508.cms,Infosys,AI,Positive,0.675,0.169,0,Pine Labs' strong D-Street debut; digital protection rules notified
45,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/rbi-chief-says-not-against-any-fintech-google-indian-apps-agree-truce/articleshow/108272168.cms,Infosys,AI,Positive,0.55,0.2,0,"RBI governor on fintechs; Google, Indian apps in temporary truce"
46,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/newsletters/tech-top-5/rbis-new-diktat-on-commercial-card-payments-google-whatsapp-in-fresh-face-off/articleshow/107693646.cms,Infosys,AI,Positive,0.675,0.268,0,RBI diktat on commercial card payments; Google eyes WhatsApp Business
47,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/startups/corporates-cool-on-deeptech-investments-due-to-longer-time-to-market/articleshow/124789760.cms,Infosys,AI,Negative,0.475,0.125,0,Corporates cool on deeptech investments due to longer time to
48,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/bank-of-america-names-infosys-us-unit-for-over-57000-users-data-leak/articleshow/107676417.cms,Infosys,AI,Positive,0.75,0.268,0,Infosys: Bank of America names Infosys US unit for over
49,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/genai-regulations-lawyers-say-advisory-may-not-have-solid-legal-foundation/articleshow/108275031.cms,Infosys,AI,Positive,0.475,0.073,0,genai advisory lawyers: Experts canât find any legal basis for
50,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/gpu-access-to-power-up-indias-ai-play-experts/articleshow/108335973.cms,Infosys,AI,Positive,0.675,0.112,0,gpus access india ai play: GPU access to power up
51,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/india-job-scene-sees-early-signs-of-disruption-from-ai/articleshow/106422589.cms,Infosys,AI,Positive,0.475,0.081,0,artificial intelligence: India job scene sees early signs of disruption
52,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/india-to-become-ai-use-case-capital-of-the-world-nandan-nilekani/articleshow/109926942.cms,Infosys,AI,Neutral,0.75,1.0,0,Nandan Nilekani: India to become AI use case capital of
53,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/technology/sarvam-ai-to-launch-voice-to-voice-endpoint-tool-in-the-next-six-to-twelve-months/articleshow/108304544.cms,Infosys,AI,Positive,0.475,0.08,0,Sarvam AI: Sarvam AI to launch voice-to-voice endpoint tool in
54,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122721349.cms,Infosys,DRAM,Positive,0.475,0.18,0,Weak credit growth and rate cuts to squeeze profit at
55,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/india-tech-valuations-put-to-the-test-as-global-headwinds-put-pressure-on-earnings/articleshow/106574641.cms,Infosys,DRAM,Positive,0.55,0.149,0,India tech valuations put to the test as global headwinds
56,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122721349.cms,Infosys,Economics,Negative,0.75,0.229,0,Weak credit growth and rate cuts to squeeze profit at
57,economictimes.indiatimes.com,https://economictimes.indiatimes.com/articleshow/122794323.cms,Infosys,Economics,Positive,0.475,0.104,0,M-cap of 6 of top-10 most valued firms slumps Rs
58,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/fresher/headcount-at-it-biggies-falls-for-four-quarters/articleshow/107638329.cms,Infosys,Economics,Positive,0.375,0.084,0,Headcount at IT biggies falls for four quarters as hiring
59,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/mid-career/tier-2-it-firms-upstage-sector-leaders-in-talent-poaching/articleshow/110774044.cms,Infosys,Economics,Positive,0.35,0.071,0,Midcap IT companies in India poach talent from industry majors
60,economictimes.indiatimes.com,https://economictimes.indiatimes.com/magazines/panache/infosys-boss-narayana-murty-shares-ice-cream-with-daughter-akshata-picture-goes-viral/articleshow/107648460.cms,Infosys,Economics,Positive,0.475,0.056,0,Infosys boss Narayana Murty shares ice cream with daughter Akshata
61,economictimes.indiatimes.com,https://economictimes.indiatimes.com/magazines/panache/narayan-murthy-defends-70-hr-a-week-work-policy-says-employees-should-emulate-less-fortunate-who-work-extremely-hard/articleshow/106577444.cms,Infosys,Economics,Positive,0.65,0.1,0,"Narayan Murthy defends 70-hr-a-week work policy, says employees should emulate"
62,economictimes.indiatimes.com,https://economictimes.indiatimes.com/magazines/panache/not-just-work-hours-ex-infosys-employee-remembers-the-90s-it-work-hustle-on-site-trips-fun-times-camaraderie-and-more/articleshow/124698898.cms,Infosys,Economics,Positive,0.475,0.132,0,Not just work hours. Ex-Infosys employee remembers the 90s IT
63,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/commodities/news/gold-kicks-off-2024-on-higher-note-on-us-fed-rate-cut-hopes/articleshow/106463056.cms,Infosys,Economics,Positive,0.4,0.233,0,Gold kicks off 2024 on higher note on US Fed
64,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-recover-as-softer-dollar-lifts-appeal/articleshow/107805733.cms,Infosys,Economics,Positive,0.4,0.233,0,Gold prices recover as softer dollar lifts appeal
65,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/commodities/news/gold-slips-as-dollar-treasury-yields-gain/articleshow/106881532.cms,Infosys,Economics,Positive,0.475,0.189,0,"Gold slips as dollar, Treasury yields gain"
66,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/ai-mania-pulling-global-capital-away-but-indias-next-rally-hinges-on-industrials-pashupati-advani/articleshow/124699583.cms,Infosys,Economics,Positive,0.4,0.222,0,"AI mania pulling global capital away, but India’s next rally"
67,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/bullish-positioned-in-cement-and-telecom-nifty-recovery-likely-in-h2-nikhil-ranka/articleshow/122816873.cms,Infosys,Economics,Positive,0.4,0.105,0,Bullish position in cement and telecom; Nifty recovery likely in
68,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/can-nifty-break-records-this-week-heres-what-the-charts-say/articleshow/124837780.cms,Infosys,Economics,Positive,0.4,0.227,0,Can Nifty break records this week? Here’s what the charts
69,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/could-it-make-a-meaningful-comeback-in-q1-deven-choksey-explains/articleshow/111421305.cms,Infosys,Economics,Positive,0.55,0.155,0,Could IT make a meaningful comeback in Q1? Deven Choksey
70,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/dont-see-an-upgrade-in-it-sector-from-an-earnings-standpoint-manik-taneja-axis-capital/articleshow/106855368.cms,Infosys,Economics,Positive,0.475,0.212,0,Don't see an upgrade in IT sector from an earnings
71,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/election-trade-these-5-themes-will-continue-to-work-out-in-indiaajay-srivastava/articleshow/110144370.cms,Infosys,Economics,Positive,0.4,0.074,0,Election trade? These 5 themes will continue to work out
72,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/gst-relief-yet-to-translate-into-consumption-boost-warns-dhananjay-sinha/articleshow/125542341.cms,Infosys,Economics,Positive,0.4,0.145,0,"GST relief yet to translate into consumption boost, warns Dhananjay"
73,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/gurmeet-chadha-is-tracking-defence-energy-and-manufacturing-stocks-and-adding-to-portfolio-gurmeet-chadha/articleshow/107821011.cms,Infosys,Economics,Positive,0.475,0.11,0,"Tracking defence, energy and manufacturing stocks and adding to portfolio:"
74,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/india-will-remain-a-rewarding-market-on-a-bottom-up-basis-ashwini-agarwal/articleshow/109909653.cms,Infosys,Economics,Positive,0.4,0.146,0,India will remain a rewarding market on a bottom-up basis:
75,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/kaynes-shares-plunge-43-from-october-peak-is-a-tactical-rebound-on-the-cards-or-more-pain-ahead/articleshow/125815992.cms,Infosys,Economics,Positive,0.475,0.221,0,Kaynes shares plunge 43% from October peak. Is a tactical
76,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/metals-and-banks-tempting-but-stay-away-from-them-reduce-allocation-to-overvalued-sectors-rajat-sharma/articleshow/108162504.cms,Infosys,Economics,Positive,0.475,0.191,0,Metals and banks tempting but stay away from them; reduce
77,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/sandip-agarwals-4-top-bets-from-it-sector-for-near-term/articleshow/110791619.cms,Infosys,Economics,Positive,0.4,0.179,0,Sandip Agarwal's 4 top bets from IT sector for near
78,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/should-one-be-extra-cautious-in-2024-pashupati-advani-answers/articleshow/106454022.cms,Infosys,Economics,Positive,0.475,0.171,0,Should one be extra cautious in 2024? Pashupati Advani answers
79,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/tcs-infosys-can-lead-pullback-in-nifty-it-anand-james/articleshow/109871370.cms,Infosys,Economics,Positive,0.475,0.109,0,"TCS, Infosys can lead pullback in Nifty IT: Anand James"
80,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/use-any-rallies-to-switch-from-it-to-domestic-themes-vinit-bolinjkar/articleshow/109841113.cms,Infosys,Economics,Positive,0.4,0.199,0,Use any rallies to switch from IT to domestic themes:
81,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/vikas-khemani-explains-why-big-money-can-be-made-in-pharma/articleshow/106816996.cms,Infosys,Economics,Positive,0.55,0.11,0,Vikas Khemani explains why big money can be made in
82,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/what-should-investors-do-with-defence-stocks-mayuresh-joshi-answers/articleshow/110769681.cms,Infosys,Economics,Positive,0.4,0.153,0,What should investors do with defence stocks? Mayuresh Joshi answers
83,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/forex/dollar-little-changed-on-mlk-day-sterling-slides-in-risk-off-trading/articleshow/106873497.cms,Infosys,Economics,Positive,0.475,0.049,0,"Dollar little changed on MLK Day, sterling slides in risk-off"
84,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/forex/dollar-pauses-as-traders-digest-fed-comments-yen-steady-despite-gdp-surprise/articleshow/107705225.cms,Infosys,Economics,Negative,0.475,0.115,0,Dollar pauses as traders digest Fed comments; yen steady despite
85,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/forex/investors-bet-via-options-that-indias-rupee-will-rise/articleshow/106860177.cms,Infosys,Economics,Positive,0.4,0.233,0,Investors bet via options that India's rupee will rise
86,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/forex/rupee-inches-up-on-dollar-inflows-bucking-weakness-in-asian-peers/articleshow/107840417.cms,Infosys,Economics,Positive,0.4,0.207,0,Rupee inches up on dollar inflows bucking weakness in Asian
87,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/forex/rupee-marginally-falls-to-83-01-against-us-dollar-in-early-trade/articleshow/107647198.cms,Infosys,Economics,Positive,0.4,0.197,0,Rupee marginally falls to 83.01 against US dollar in early
88,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-ban-list-balrampur-chini-biocon-among-12-stocks-under-trade-ban-on-friday/articleshow/107738757.cms,Infosys,Economics,Positive,0.4,0.215,0,"F&O Ban List: Balrampur Chini, Biocon among 12 stocks under"
89,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-ban-list-gnfc-escorts-kubota-among-11-stocks-under-trade-ban-on-friday/articleshow/106559531.cms,Infosys,Economics,Positive,0.4,0.215,0,"F&O Ban List: GNFC, Escorts Kubota among 11 stocks under"
90,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-ban-list-indus-towers-ashok-leyland-among-13-stocks-under-trade-ban-on-wednesday/articleshow/107676392.cms,Infosys,Economics,Positive,0.4,0.215,0,"F&O Ban List: Indus Towers, Ashok Leyland among 13 stocks"
91,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-ban-list-pnb-bandhan-bank-among-13-stocks-under-trade-ban-on-tuesday/articleshow/107647666.cms,Infosys,Economics,Positive,0.4,0.215,0,"F&O Ban List: PNB, Bandhan Bank among 13 stocks under"
92,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-ban-list-rbl-bank-gnfc-among-13-stocks-under-trade-ban-on-wednesday/articleshow/107868647.cms,Infosys,Economics,Positive,0.4,0.215,0,"F&O Ban List: RBL Bank, GNFC among 13 stocks under"
93,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-or-sell-today-top-7-trading-ideas-for-13-february-2024/articleshow/107645821.cms,Infosys,Economics,Positive,0.475,0.15,0,F&O stocks to buy or sell today: Top 7 trading
94,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/fo-stocks-to-buy-today-infosys-sun-pharma-among-top-9-trading-ideas-for-7-march-2024/articleshow/108284133.cms,Infosys,Economics,Negative,0.475,0.129,0,"F&O stocks to buy today: Infosys, Sun Pharma among top"
95,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/options/hot-stocks-ubs-upgrades-infosys-downgrades-wipro-jpmorgan-upgrades-tcs/articleshow/106532187.cms,Infosys,Economics,Positive,0.475,0.041,0,Hot Stocks: UBS upgrades Infosys & downgrades Wipro; JPMorgan upgrades
96,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/india-tech-valuations-put-to-the-test-as-global-headwinds-put-pressure-on-earnings/articleshow/106574641.cms,Infosys,Economics,Positive,0.475,0.148,0,India tech valuations put to the test as global headwinds
97,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/mcap-of-7-of-top-10-most-valued-firms-climb-rs-65302-cr-tcs-icici-bank-biggest-gainers/articleshow/108176005.cms,Infosys,Economics,Positive,0.475,0.121,0,Mcap of 7 of top-10 most valued firms climb Rs
98,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/24k-in-2024-nifty-can-deliver-double-digit-returns-says-jefferies-adds-adani-ports/articleshow/106469548.cms,Infosys,Economics,Positive,0.475,0.165,0,"24K in 2024? Nifty can deliver double-digit returns, says Jefferies,"
99,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/acre-puts-nagarjuna-fertilizers-up-for-sale-at-double-buy-price/articleshow/107834911.cms,Infosys,Economics,Positive,0.4,0.233,0,Acre puts Nagarjuna Fertilizers up for sale at double buy
100,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/after-a-lacklustre-2023-will-2024-be-a-year-of-mega-caps/articleshow/106428572.cms,Infosys,Economics,Positive,0.275,0.111,0,"After a lacklustre 2023, will 2024 be a year of"
101,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-d-street-action-on-tuesday/articleshow/107636837.cms,Infosys,Economics,Positive,0.475,0.075,0,Ahead of Market: 10 things that will decide D-Street action
102,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-wednesday/articleshow/125568855.cms,Infosys,Economics,Positive,0.475,0.178,0,Ahead of Market: 10 things that will decide stock market
103,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/ashok-vaswani-assumes-charge-as-kotak-banks-md-and-ceo/articleshow/106462046.cms,Infosys,Economics,Positive,0.4,0.233,0,Ashok Vaswani assumes charge as Kotak Bank's MD and CEO
104,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/asian-stocks-nudge-higher-dollar-steady-ahead-of-us-inflation-report/articleshow/107642969.cms,Infosys,Economics,Positive,0.475,0.119,0,"Asian stocks nudge higher, dollar steady ahead of US inflation"
105,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/block-deals-worth-over-rs-7640-crore-this-week-chandrababu-naidus-heritage-foods-adani-ports-see-top-action/articleshow/110816080.cms,Infosys,Economics,Positive,0.55,0.136,0,"Block deals worth over Rs 7,640 crore this week. Chandrababu"
