run_id,source,url,summary,entities,sentiment,input_tokens,output_tokens,estimated_cost_usd
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/investors-fears-ridiculous-it-firms-will-enable-ai-to-flourish-piyush-goyal/articleshow/128512409.cms,"Goyal gave the example of cybersecurity and data scrubbing, underlining that IT companies will have an important task to perform in both of them. On trade deals, Goyal said India has signed nine agreements with various countries or blocs like the European Union over the last few years, if one were to include the US agreement.",NIFTIT,positive (0.70),691,281,0.000091
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/no-opportunity-gap-in-ai-only-execution-risk-infosys-chairman-nandan-nilekani/articleshow/128475186.cms,"Artificial intelligence does not present any opportunity gap and the real question is how businesses are using the opportunity, Infosys chairman Nandan Nilekani said, as he kicked off the IT firm’s Investor AI day 2026 Tuesday.",NIFTIT,positive (0.70),637,216,0.000075
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/infosys-partners-with-anthropic-to-deliver-enterprise-ai-solutions/articleshow/128448919.cms,"Infosys on Tuesday announced a collaboration with Anthropic, an AI safety and research company, to develop and deliver advanced enterprise artificial intelligence (AI) solutions for companies across telecommunications, financial services, manufacturing, and software development.",NIFTIT,positive (0.75),601,222,0.000074
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/wrong-to-think-that-ai-will-eliminate-it-services-nasscom-prez/articleshow/128390380.cms,"Stock market investors have wiped out nearly $50 billion from Indian IT companies’ market capitalisation since the start of 2025, spooked by fears of AI tools eating into the IT sector’s revenue. Analysts estimate tools such as Anthropic’s Cowork plugins and Palantir’s ERP software will have a 2% hit on revenue growth each year for the next three-four years.",NIFTIT,negative (-0.65),724,281,0.000092
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/india-can-play-a-key-role-in-shaping-global-ai-rulebook-wipros-bartoletti/articleshow/128370127.cms,"India's leadership matters in this sphere as the country is home to over 1.4 billion people, generates roughly 20% of the world's data, has the second-largest AI talent base globally and more than 700 million digitally connected citizens, she said at the summit.",NIFTIT,positive (0.85),673,267,0.000087
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/infosys-wipro-shares-could-crash-up-to-10-if-adr-is-an-indicator-heres-why/articleshow/128289729.cms,"Shares of IT giants Infosys and Wipro tumbled as much as 6% on Friday, extending recent losses. This decline follows a sharp overnight drop in their ADRs after Anthropic unveiled a new AI product capable of automating professional tasks, reigniting fears of margin pressure and weakened competitive positioning.",NIFTIT,negative (-0.85),691,276,0.000090
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/infosys-to-deploy-exxonmobils-data-centre-fluids-for-efficient-cooling-of-ai-infra/articleshow/128256286.cms,"Infosys has expanded its collaboration with ExxonMobil to deploy data centre immersion fluids that enhance energy efficiency. The collaboration will enable the development and deployment of high-efficiency cooling systems that can meet the growing demands of AI and high-performance computing (HPC) workloads, the software major said.",NIFTIT,positive (0.75),664,279,0.000089
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/infosys-wipro-other-it-stocks-in-focus-as-us-listed-adrs-tumble-up-to-5/articleshow/128238208.cms,"Indian IT stocks like Infosys and Wipro saw significant drops following a sharp decline in their US ADRs. Investor concerns are mounting over AI's potential to disrupt legal services and other sectors, leading to fears of increased competition and margin pressure for IT firms.",NIFTIT,negative (-0.75),652,221,0.000077
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/ltimindtree-rebrands-as-ltm-limited/articleshow/128207613.cms,"IT services firm LTIMindtree on Wednesday said that it has rebranded itself as 'LTM Limited', marking a significant shift in its corporate identity years after the high-profile merger of L&amp;T Infotech and Mindtree.",NIFTIT,neutral (0.00),610,90,0.000048
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/agentic-ai-breaking-its-billing-model/articleshow/128170101.cms,"Blended billing rates across global IT services contracts have been on a steady decline over the past 24 months across the US and India for roles such as web and mobile developers, full-stack engineers, remote desktop support, and cyber defence professionals.",NIFTIT,negative (-0.60),607,217,0.000074
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/happiest-minds-ashok-soota-shrugs-off-stake-sale-reports/articleshow/128168599.cms,"Happiest Minds’ founder and chairman Ashok Soota said on Tuesday that he was “very much in charge” at the mid-cap IT firm, amid media reports that he was exploring a stake sale.",NIFTIT,neutral (0.00),610,90,0.000048
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/n-chandrasekaran-gets-into-drivers-seat-for-tcs-ai-ride/articleshow/128094422.cms,"Tata Sons chairman Chandrasekaran is increasing his direct involvement with TCS to navigate the company through a critical period. This renewed focus aims to solidify TCS's position as the Tata Group's primary AI partner and explore acquisitions to accelerate its AI pivot, ensuring the protection of its largest cash generator amidst evolving business models.",NIFTIT,positive (0.70),676,272,0.000088
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/budget-tax-tweaks-to-revive-buyback-momentum-of-cash-rich-it-large-caps/articleshow/127947628.cms,"Expect IT outsourcing leaders with eye-popping cash on their balance sheets to announce buybacks. After the budget reclassified the repurchase exercise as capital gains, lowering the tax outgo for investors, the $280-billion industry could return to its favourite mode of rewarding long-term shareholders, experts said.",NIFTIT,positive (0.75),661,339,0.000101
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/hexaware-technologies-q4-pat-dips-14-4-to-rs-291-crore/articleshow/127948428.cms,Hexaware Technologies’ net profit fell 14.4% for the fourth quarter of the calendar year 2025 to Rs. 291.6 crore as a seasonally weak quarter and one-time labour code charges impacted margins.,NIFTIT,negative (-0.65),652,91,0.000051
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/software-mageddon-leaves-investors-bargain-hunting-but-wary/articleshow/127927709.cms,"Wall Street's software sector is experiencing a significant downturn, dubbed ""Software-mageddon,"" as investors grapple with the disruptive potential of artificial intelligence. This selloff, marked by substantial market capitalization losses, has led some to consider buying beaten-down stocks, while others await clearer signals of AI integration and its impact on future software sales.",NIFTIT,negative (-0.70),682,289,0.000092
